 Course Number          Color     Original Degree  Deg when deleted
             17              1             10              7
              9              1             11              7
             13              2             11              7
             16              2              8              7
              1              2             11              6
             18              3              9              6
             14              1              7              6
              2              3             10              5
              8              4              8              5
              7              3              7              5
              3              4              6              6
              6              3             10              5
              5              4              6              6
             11              4              8              5
             10              1              6              6
             12              5              6              6
              4              4              6              5
             19              2              5              5
             20              4              5              5
             15              5              4              4
The largest degree when deleted was 7
